anyo;cod_proyecto;cod_gestor;cod_funcional;cod_economico;texto;importe;cod_gestor2;gestor;cod_funcion2;funcion;cod_proyecto2;proyecto;economico
2013;010002;01300;2221;912300;Comunicaciones postales y mensajería;700000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Postales y mensajería
2013;010002;01300;2264;921B00;Gastos de comunidad;500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos de comunidades
2013;010002;01300;2269;912300;Registro y defensa de patentes y marcas;2000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Otros gastos diversos
2013;010002;01300;2271;912300;Limpieza de locales de Palacio de Navarra;335000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Servicios de limpieza y aseo
2013;010002;01300;2271;912302;Servicios de limpieza y aseo;4000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Servicios de limpieza y aseo
2013;010002;01300;2271;921B00;Servicios de limpieza y aseo;6305;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Servicios de limpieza y aseo
2013;010002;01300;2280;921B00;Energía eléctrica, agua y gas;1050;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Energía eléctrica, agua y gas
2013;010002;01300;2284;912300;Material de limpieza y aseo;6000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Material de limpieza y aseo
2013;010002;01300;2285;912300;Vestuario;750;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Vestuario
2013;010002;01300;2400;912300;Encuadernaciones y microfilmaciones de actas y otros;2000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;91;Alta dirección;01;Actividades generales del Gobierno;Gastos de edición de libros y publicaciones
2013;010002;01300;4455;921B00;Convenio de colaboración con la UPNA para fomento del derecho navarro;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Transferencias corrientes a la Universidad Pública de Navarra
2013;010002;01300;4709;921B00;Convenio de colaboración con la UN para fomento del derecho navarro;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Transferencias corrientes a otras empresas privadas
2013;010003;01500;1200;921600;Retribuciones del personal fijo;980508;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010003;01500;1210;921600;Retribuciones del personal contratado para cubrir plazas reservadas;44925;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010003;01500;1211;921600;Retribuciones del personal contratado para cubrir vacantes;26903;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010003;01500;2264;921600;Gastos de comunidad;60000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos de comunidades
2013;010003;01500;2273;921600;Servicios informáticos;30000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Servicios informáticos
2013;010003;01500;2400;921600;Impresión del Boletín Oficial de Navarra;15000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos de edición de libros y publicaciones
2013;010004;01100;1200;921700;Retribuciones del personal fijo;650510;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010004;01100;1210;921700;Retribuciones del personal contratado para cubrir plazas reservadas;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010004;01100;1211;921700;Retribuciones del personal contratado para cubrir vacantes;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010004;01100;2202;921700;Adquisición de libros para la biblioteca central;3800;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Prensa, revistas, libros y otras publicaciones
2013;010004;01100;2263;921700;Gastos jurídico-contenciosos;27000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos jurídicos, contenciosos
2013;010004;01100;2400;921700;Revista jurídica de Navarra y otras colaboraciones;9000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos de edición de libros y publicaciones
2013;010007;01600;1200;921A00;Retribuciones del personal fijo;699094;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;010007;01600;1210;921A00;Retribuciones del personal contratado para cubrir plazas reservadas;9758;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;010007;01600;1211;921A00;Retribuciones del personal contratado para cubrir vacantes;43912;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;010007;01600;2020;921A00;Arrendamientos de edificios y otras construcciones;7000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Arrendamientos de edificios y otras construcciones
2013;010007;01600;2120;921A00;Reparación, mantenimiento y conservación de edificios;2000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Edificios y otras construcciones
2013;010007;01600;2190;921A00;Reparación, mantenimiento y conservación bienes muebles;2200;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Otro inmovilizado material
2013;010007;01600;2200;921A00;Material de oficina;20000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Material ordinario no inventariable
2013;010007;01600;2202;921A00;Prensa, revistas, libros y otras publicaciones;600;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Prensa, revistas, libros y otras publicaciones
2013;010007;01600;2230;921A00;Traslado de documentos y otros;1600;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos de transportes
2013;010007;01600;2264;921A00;Gastos de comunidad;8000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Gastos de comunidades
2013;010007;01600;2266;921A00;Reuniones, conferencias y cursillos;400;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Reuniones, conferencias y cursillos
2013;010007;01600;2269;921A00;Otros gastos diversos;900;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Otros gastos diversos
2013;010007;01600;2271;921A00;Servicios de limpieza y aseo;23000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Servicios de limpieza y aseo
2013;010007;01600;2280;921A00;Energía eléctrica, agua y gas;7000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Energía eléctrica, agua y gas
2013;010007;01600;2301;921A00;Locomoción y gastos de viaje;1000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Locomoción y gastos de viaje
2013;010007;01600;6050;921A00;Mobiliario y equipo de oficina;2500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Mobiliario y equipo de oficina
2013;010007;01600;6060;921A00;Equipos para procesos de información;2500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Equipos para proceso de información
2013;010007;01600;6090;469100;Sistemas de información;1500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;46;Investigación, desarrollo e innovación;01;Actividades generales del Gobierno;Otro inmovilizado inmaterial
2013;011000;01000;2120;111200;Reparación y mantenimiento de edificios y otras construcciones;75000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Edificios y otras construcciones
2013;011000;01000;2160;111200;Reparación y mantenimiento de equipos y programas informáticos;64000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Equipos informáticos y de telecomunicaciones
2013;011000;01000;2190;111200;Reparación y mantenimiento de otros bienes muebles;10000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otro inmovilizado material
2013;011000;01000;2200;111200;Material de oficina;200000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Material ordinario no inventariable
2013;011000;01000;2202;111200;Prensa, revistas, libros y otras publicaciones;8000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Prensa, revistas, libros y otras publicaciones
2013;011000;01000;2261;111200;Atenciones protocolarias y representativas;1000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Atenciones protocolarias y representativas
2013;011000;01000;2264;111200;Gastos de comunidad;15000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Gastos de comunidades
2013;011000;01000;2266;111200;Reuniones, conferencias y cursillos;2000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Reuniones, conferencias y cursillos
2013;011000;01000;2269;111200;Otros gastos diversos;9000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otros gastos diversos
2013;011000;01000;2279;111200;Atención a la violencia doméstica y de género;320000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otros trabajos realizados por terceros
2013;011000;01000;2301;111200;Locomoción y gastos de viaje;40000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Locomoción y gastos de viaje
2013;011000;01000;4809;111200;Indemnizaciones por responsabilidad patrimonial;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Transferencias corrientes a familias y otros particulares
2013;011000;01000;4819;111200;Subvenciones para actividades privadas relacionadas con el apoyo a las víctimas del terrorismo;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Transferencias corrientes a otras instituciones sin fines de lucro
2013;011000;01000;6092;111200;Estudios sobre la Administración de Justicia;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Estudios, informes y otros
2013;011000;01400;1200;111200;Retribuciones del personal fijo;587733;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;011000;01400;1210;111200;Retribuciones del personal contratado para cubrir plazas reservadas;48395;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;011000;01400;1211;111200;Retribuciones del personal contratado para cubrir vacantes;117445;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;011000;01400;4709;111200;Subvenciones por atentados terroristas a empresas privadas;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Transferencias corrientes a otras empresas privadas
2013;011000;01400;4809;111200;Subvenciones por atentados terroristas a particulares;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Transferencias corrientes a familias y otros particulares
2013;011000;01400;4819;111200;Subvención a la Fundación Víctimas del Terrorismo;90000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Transferencias corrientes a otras instituciones sin fines de lucro
2013;011000;01400;8319;111200;Préstamos como consecuencia de atentados terroristas;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Concesión de otros préstamos fuera del sector público a largo plazo
2013;011000;01800;1200;921100;Retribuciones del personal fijo;628172;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;011000;01800;1210;921100;Retribuciones del personal contratado para cubrir plazas reservadas;22095;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;011000;01800;1211;921100;Retribuciones del personal contratado para cubrir vacantes;112922;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;011000;01900;1200;921100;Retribuciones del personal fijo;84473;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal fijo
2013;011000;01900;1210;921100;Retribuciones del personal contratado para cubrir plazas reservadas;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir plazas reservadas
2013;011000;01900;1211;921100;Retribuciones del personal contratado para cubrir vacantes;10;01;Direc.Gral.Asunt.Jurídicos y Presidencia;92;Servicios de carácter general;01;Actividades generales del Gobierno;Retribuciones del personal contratado para cubrir vacantes
2013;011001;01000;2061;112100;Licencias de bases de datos de jurisprudencia y legislación;30000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Arrendamientos de programas y licencias
2013;011001;01000;2140;112102;Reparación y mantenimiento de vehículos;1000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Elementos de transporte
2013;011001;01000;2216;112100;Material clínico forense;3000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Material sanitario de consumo
2013;011001;01000;2220;112100;Servicios de telecomunicaciones;136725;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Servicios de telecomunicaciones
2013;011001;01000;2221;112100;Comunicaciones postales y mensajería;500000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Postales y mensajería
2013;011001;01000;2230;112100;Gastos de transportes;15000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Gastos de transportes
2013;011001;01000;2250;112100;Tributos locales;500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Tributos locales
2013;011001;01000;2261;112100;Protocolo y representación de la Administración de Justicia en Navarra;3500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Atenciones protocolarias y representativas
2013;011001;01000;2262;112100;Publicidad y actividades divulgativas;1300;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Publicidad y propaganda
2013;011001;01000;2266;112100;Actividades de formación de profesionales de justicia en Navarra;10000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Reuniones, conferencias y cursillos
2013;011001;01000;2269;112100;Gastos del jurado;20000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otros gastos diversos
2013;011001;01000;2271;112100;Servicios de limpieza y aseo;644633;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Servicios de limpieza y aseo
2013;011001;01000;2273;112100;Servicios informáticos;643000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Servicios informáticos
2013;011001;01000;2273;112102;Asistencia técnica de 2º nivel;218028;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Servicios informáticos
2013;011001;01000;2274;112100;Servicios de seguridad;405278;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Servicios de seguridad
2013;011001;01000;2279;112100;Servicios prestados por los secretarios para atender los juzgados de paz;126000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otros trabajos realizados por terceros
2013;011001;01000;2279;112102;Asistencia técnica para analíticas forenses;40000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otros trabajos realizados por terceros
2013;011001;01000;2279;112104;Peritajes, traducciones y testigos;280000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Otros trabajos realizados por terceros
2013;011001;01000;2280;112100;Energía eléctrica, agua y gas;425000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Energía eléctrica, agua y gas
2013;011001;01000;2281;112100;Combustibles, lubricantes y calefacción;5000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Combustibles, lubricantes y calefacción
2013;011001;01000;2283;112100;Material para reparaciones, conservación y repuestos;12000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Materiales para reparaciones, conservación y repuestos
2013;011001;01000;2284;112100;Material de limpieza y aseo;5000;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Material de limpieza y aseo
2013;011001;01000;2285;112100;Vestuario;2500;01;Direc.Gral.Asunt.Jurídicos y Presidencia;11;Justicia;01;Actividades generales del Gobierno;Vestuario
